Name,body Shape,dress size,Breasts-Waist-Hips(m),Shoe/Feet,Bra size,Cup size,Height(m),Weight(kg),Natural breasts or implants?
Alyson Stoner, Hourglass , 6,2.311-1.676-2.311, 7, 34B, B,1.57,56, Natural 

Tove Lo, Hourglass , 6,2.311-1.626-2.388, 7, 34B, B,1.71,63, Natural 

Sabrina Carpenter, Banana , 0,2.007-1.473-2.134, 7, 30A, A,1.52,44, Natural 

Nadia Forde, Banana , 8,2.311-1.676-2.311, 7, 34B, B,1.7,63, Natural 

Brie Larson, Hourglass , 4,2.184-1.549-2.261, 9, 32B, B,1.7,59, Natural  

Charli XCX, Hourglass , 8,2.388-1.676-2.388, 7, 34C, C,1.6,59, Natural  

Lorde, Pear , 6,2.261-1.753-2.311, 7, 34A, A,1.65,59, Natural  

Raini Rodriguez, Apple , N/A,2.311-2.388-2.718, 6, 34B, B,1.57,70, Natural  

Jesy Nelson, Hourglass , 10 ,2.388-1.803-2.515, 8, 34C, C,1.6,66, Natural  

Maria Brink, Apple , 12,2.515-1.803-2.388, 7, 34DD, DD,1.65,70, Natural  

Judy Garland, Banana , 2,2.134-1.549-2.184, 6.5, 32A, A,1.51,49, Natural  

Becky G, Banana , 2,2.184-1.549-2.184, 6, 32B, B,1.5,48, Natural  

G Hannelius, Banana , N/A,2.007-1.422-2.057, 5, 30A, A,1.57,40, Natural  

Sasha Pieterse, Banana , 2,2.134-1.549-2.184, 8, 32A, A,1.68,54, Natural  

LeAnn Rimes, Hourglass , 8,2.388-1.676-2.388, 8, 34C, C ,1.65,59, Natural  

Beverley Mitchell, Apple , 8,2.388-1.753-2.311, 6.5, 34C, C,1.57,57, Natural  

Chanel West Coast, Hourglass , 6,2.311-1.676-2.388, 5, 34B, B,1.6,54, Natural  

Patina Miller, Hourglass , 6,2.311-1.626-2.057, 7, 34B, B,1.68,63, Natural  

Becca Tobin, Banana , 4,2.184-1.549-2.184, 6, 32B, B,1.57,54, Natural  

Kat Graham, Hourglass , 6,2.311-1.626-2.311, 8, 34B, B,1.57,56, Natural  

Vanessa Morgan, Banana , 4,2.184-1.549-2.184, 7, 32B, B,1.6,50, Natural  

Ellie Goulding, Pear , 6,2.261-1.753-2.388, 6, 34A, A,1.65,61, Natural  

